title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
Nissan Qashqai 1.3,https://www.otomoto.pl/oferta/nissan-qashqai-1-3-l-140-km-n-connecta-pakiet-styl-2019-ID6DfB7t.html#7f298a878a,2019 ,17 100 km,1 332 cm3,Benzyna,84 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Juke 1.0,https://www.otomoto.pl/oferta/nissan-juke-117-km-tekna-podgrzewana-przednia-szyba-bose-dostepne-od-reki-ID6CULoH.html#7f298a878a,2020 ,1 km,999 cm3,Benzyna,96 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Micra 1.2,https://www.otomoto.pl/oferta/nissan-micra-1-2-80-km-krajowy-autoryzowany-salon-nissana-ID6DurEG.html#7f298a878a,2016 ,93 330 km,1 198 cm3,Benzyna,28 200,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Juke 1.0,https://www.otomoto.pl/oferta/nissan-juke-tekna-podgrzewana-przednia-szyba-pakiet-bose-dostepny-od-reki-ID6CUSt0.html#7f298a878a,2020 ,1 km,999 cm3,Benzyna,96 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Seat Alhambra 2.0,https://www.otomoto.pl/oferta/seat-alhambra-2-0-tdi-dsg-krajowy-ID6Dw1PE.html#7f298a878a,2019 ,35 650 km,1 968 cm3,Diesel,117 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Juke 1.6,https://www.otomoto.pl/oferta/nissan-juke-juke-1-6-xtronic-n-connecta-skrzynia-automatyczna-ID6DtPv8.html#7f298a878a,2018 ,46 650 km,1 598 cm3,Benzyna,65 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Leaf 40kWh,https://www.otomoto.pl/oferta/nissan-leaf-acenta-kamery-360-czujniki-parkowania-ladowarka-za-1-zl-ID6DcBdr.html#7f298a878a,2019 ,1 km,,Elektryczny,118 300,PLN,Bielany Wrocławskie,(Dolnośląskie)
Nissan Qashqai 1.3,https://www.otomoto.pl/oferta/nissan-qashqai-nissan-qashqai-1-3-n-motion-ID6DiRUO.html#7f298a878a,2019 ,18 220 km,1 332 cm3,Benzyna,84 900,PLN,Bielany Wrocławskie,(Dolnośląskie)
Ford EDGE,https://www.otomoto.pl/oferta/ford-edge-nowy-model-bogaty-pakiet-2-0-benzyna-245-km-zarejestrowany-ID6DnAuG.html#7f298a878a,2019 ,6 200 km,1 999 cm3,Benzyna,101 500,PLN,Dębe Wielkie,(Mazowieckie)
Ford Mondeo 2.0,https://www.otomoto.pl/oferta/ford-mondeo-mk4-2-0tdci-140km-6g-climatr2str-radiocdmp3-ogrzprzedszyba-16-ID6Dw5m9.html#7f298a878a,2010 ,229 387 km,1 997 cm3,Diesel,15 900,PLN,Łódź,(Łódzkie)
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-2017r-lift-1-4tsi-dsg-salon-polska-comfortline-oryginal-1wl-f-vat23-ID6Dwdbb.html#7f298a878a,2017 ,104 900 km,1 395 cm3,Benzyna,53 500,PLN,Błonie,(Mazowieckie)
Hyundai I30,https://www.otomoto.pl/oferta/hyundai-i30-1-4-benzynabogaty-navikamera1wl-niemcy100-oryginaljak-nowy-ID6Dkosh.html#7f298a878a,2016 ,99 000 km,1 400 cm3,Benzyna,39 900,PLN,Bogoria Skotnicka,(Świętokrzyskie)
Hyundai I30,https://www.otomoto.pl/oferta/hyundai-i30-hyundai-i30-1-4-ID6DshzH.html#7f298a878a,2008 ,185 000 km,1 396 cm3,Benzyna,12 300,PLN,Bielsko-Biała,(Śląskie)
Ford Mustang,https://www.otomoto.pl/oferta/ford-mustang-ford-mustang-2014-5-0-ID6DsA6z.html#7f298a878a,2014 ,64 000 km,4 951 cm3,Benzyna,155 000,PLN,Słupsk,(Pomorskie)
Jeep Wrangler Unlimited,https://www.otomoto.pl/oferta/jeep-wrangler-unlimited-2-0-turbo-rubicon-salon-polska-fv-23-ID6Drjoh.html#7f298a878a,2020 ,1 000 km,1 995 cm3,Benzyna,249 900,PLN,Łódź,(Łódzkie)
Volkswagen Transporter,https://www.otomoto.pl/oferta/volkswagen-transporter-6-1-furgon-3400mm-2-0tdi-110km-6g-climatic-temp-czujpark-wyswietlacz-ID6Dvg1Y.html#7f298a878a,2021 ,10 km,1 968 cm3,Diesel,127 305,PLN,Łódź,(Łódzkie)
Volkswagen Transporter,https://www.otomoto.pl/oferta/volkswagen-transporter-6-1-furgon-2-0tdi-150km-dsg7g-led-climatic-temp-czujpark-ravennablue-ID6Dvg2b.html#7f298a878a,2021 ,10 km,1 968 cm3,Diesel,154 365,PLN,Łódź,(Łódzkie)
Volkswagen Transporter,https://www.otomoto.pl/oferta/volkswagen-transporter-t6-1-furgon-3400mm-2-0tdi-110km-temp-czujpark-ID6Dvg2g.html#7f298a878a,2021 ,10 km,1 968 cm3,Diesel,119 187,PLN,Łódź,(Łódzkie)
Mercedes-Benz Klasa E,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-automat-klima-xenon-2xpdc-stan-pl-ID6DiLI2.html#7f298a878a,2003 ,306 500 km,2 148 cm3,Diesel,16 999,PLN,Nowy Dwór Mazowiecki,(Mazowieckie)
Volkswagen Transporter,https://www.otomoto.pl/oferta/volkswagen-transporter-6-1-furgon-3400mm-2-0tdi-110km-5g-climatic-temp-czujpark-ID6Dvg1S.html#7f298a878a,2021 ,10 km,1 968 cm3,Diesel,119 187,PLN,Łódź,(Łódzkie)
Škoda Superb,https://www.otomoto.pl/oferta/skoda-superb-2-0-tdi-190km-dsg-4x4-scout-hak-holowniczy-kamera-cofania-ID6Dwajw.html#7f298a878a,2020 ,1 km,1 968 cm3,Diesel,178 500,PLN,Chorzów,(Śląskie)
Opel Mokka,https://www.otomoto.pl/oferta/opel-mokka-1-4tb4x4140km127-tys-km1wl-niemcy100-orygbogaty-jak-z-fabryki-ID6DkogN.html#7f298a878a,2014 ,127 000 km,1 400 cm3,Benzyna,49 700,PLN,Bogoria Skotnicka,(Świętokrzyskie)
Volkswagen Passat 1.8,https://www.otomoto.pl/oferta/volkswagen-passat-passat-b8-highline-180km-dsg-45000-km-ID6DmZ87.html#7f298a878a,2018 ,45 000 km,1 798 cm3,Benzyna,104 550,PLN,Gdańsk,(Pomorskie)
Audi A3,https://www.otomoto.pl/oferta/audi-a3-8v-fl-lim-1-5tfsi-150km-7g-sline-led-virtcockp-magnride-18-gwfabr2022-ID6DtXFI.html#7f298a878a,2017 ,58 310 km,1 498 cm3,Benzyna,102 900,PLN,Łódź,(Łódzkie)
Volkswagen Passat,https://www.otomoto.pl/oferta/volkswagen-passat-dostepny-od-reki-variant-business-2-0-tdi-150-km-dsg-ID6Drmjd.html#7f298a878a,2020 ,5 km,1 968 cm3,Diesel,153 390,PLN,Nadarzyn,(Mazowieckie)
Audi A6,https://www.otomoto.pl/oferta/audi-a6-c8-lim-sport-3-0tdi-286km-4x4-8g-matrixled-virtcockp-topview-19-ID6DmVCB.html#7f298a878a,2019 ,29 645 km,2 967 cm3,Diesel,239 900,PLN,Łódź,(Łódzkie)
BMW Seria 7 M760Li,https://www.otomoto.pl/oferta/bmw-seria-7-m-760-li-ID6Df91x.html#7f298a878a,2017 ,108 000 km,6 592 cm3,Benzyna,405 000,PLN,Lublin,(Lubelskie)
Opel Insignia 2.0,https://www.otomoto.pl/oferta/opel-insignia-2-0-cdti-140km-nawigacja-led-skora-ID6Dr6bK.html#7f298a878a,2014 ,201 000 km,1 956 cm3,Diesel,34 900,PLN,Cieszyn,(Śląskie)
Jaguar E-Pace 2.0,https://www.otomoto.pl/oferta/jaguar-e-pace-180km-hud-headup-automat-awd-kamera-radary-grzana-szyba-led-20-ID6DwF07.html#7f298a878a,2018 ,30 700 km,1 999 cm3,Diesel,129 000,PLN,Wrocław,(Dolnośląskie)
Volkswagen Caddy 1.6,https://www.otomoto.pl/oferta/volkswagen-caddy-1-6-life-7os-klima-2xprzesuwne-drzwi-zarej-ID6Dvs8t.html#7f298a878a,2005 ,125 000 km,1 598 cm3,Benzyna,13 900,PLN,Kamień Krajeński,(Kujawsko-pomorskie)
Ford Kuga,https://www.otomoto.pl/oferta/ford-kuga-2-0-tdci-140km1wl-z-niemiecbogataserwis164000tkmjak-z-fabryki-ID6DknXe.html#7727354d7a,2011 ,164 000 km,2 000 cm3,Diesel,39 900,PLN,Bogoria Skotnicka,(Świętokrzyskie)
Audi A4,https://www.otomoto.pl/oferta/audi-a4-2-0-diesel-190km-s-tronic-i-wl-aso-navi-ksenon-led-s-line-fv23-ID6DwLVX.html#7727354d7a,2016 ,120 263 km,1 968 cm3,Diesel,99 900,PLN,Rybnik,(Śląskie)
BMW 3GT 320d,https://www.otomoto.pl/oferta/bmw-3gt-190km-hedup-pod-kierownica-harman-kardon-1wl-adaptacyjne-ledy-ID6DuIs8.html#7727354d7a,2017 ,117 000 km,1 995 cm3,Diesel,93 900,PLN,Łaskarzew,(Mazowieckie)
Opel Insignia 2.0,https://www.otomoto.pl/oferta/opel-insignia-2-0-cdti-118-kw-sports-tourer-ID6DhjX2.html#7727354d7a,2010 ,239 000 km,1 956 cm3,Diesel,14 999,PLN,Katowice,(Śląskie)
Peugeot 207 RC,https://www.otomoto.pl/oferta/peugeot-207-super-rc-peugeot-hp200-ID6DwLWT.html#7727354d7a,2009 ,124 000 km,1 598 cm3,Benzyna,15 900,PLN,Wiśniowa,(Małopolskie)
Honda Civic 1.4i,https://www.otomoto.pl/oferta/honda-civic-honda-civic-vii-ID6DfxHN.html#7727354d7a,2002 ,215 043 km,1 396 cm3,Benzyna,4 200,PLN,Ostrzeszów,(Wielkopolskie)
Audi A4 Allroad 2.0,https://www.otomoto.pl/oferta/audi-a4-allroad-b9-2-0tfsi-quattro-fv-23-ID6Dsvje.html#7727354d7a,2016 ,110 000 km,1 984 cm3,Benzyna,129 150,PLN,Kraków,(Małopolskie)
BMW Seria 3 320d,https://www.otomoto.pl/oferta/bmw-seria-3-sedan-sport-line-led-xenon-nawgacja-automat-led-lift-sliczna-ID6DswGP.html#7727354d7a,2016 ,142 362 km,1 995 cm3,Diesel,69 900,PLN,Strzelin,(Dolnośląskie)
Mercedes-Benz Klasa V 250,https://www.otomoto.pl/oferta/mercedes-benz-klasa-v-v-klasa-dlugi-ID6Dq0YF.html#7727354d7a,2017 ,102 000 km,2 143 cm3,Diesel,178 350,PLN,Lubartów,(Lubelskie)
Volkswagen Crafter,https://www.otomoto.pl/oferta/volkswagen-crafter-doka-7osob-2-0tdi-140km-6g-climatic-bluetooth-ID6CYZqN.html#7727354d7a,2020 ,1 km,1 968 cm3,Diesel,135 177,PLN,Łódź,(Łódzkie)
Honda Civic,https://www.otomoto.pl/oferta/honda-civic-honda-civic-1-8-hatchback-benzyna-lpg-ID6DeSC7.html#7727354d7a,2012 ,133 000 km,1 798 cm3,Benzyna+LPG,37 500,PLN,Swarzędz,(Wielkopolskie)
Mercedes-Benz Klasa E 200,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-e200-coupe-automat-skora-panorama-led-kamera-serwisowany-ID6DvrT1.html#7727354d7a,2013 ,151 570 km,1 991 cm3,Benzyna,72 900,PLN,Białystok,(Podlaskie)
Volkswagen Transporter T5,https://www.otomoto.pl/oferta/volkswagen-transporter-vw-transporter-1-9-tdi-long-9-osob-ID6DwLRW.html#7727354d7a,2007 ,281 000 km,1 900 cm3,Diesel,26 900,PLN,Nowy Dwór Gdański,(Pomorskie)
Seat Leon 1.9,https://www.otomoto.pl/oferta/seat-leon-lift-bezwypadkowy-jeden-wlasciciel-dwa-komplety-kol-ID6Dw49p.html#7727354d7a,2010 ,147 484 km,1 896 cm3,Diesel,23 999,PLN,Pabianice,(Łódzkie)
Ford Transit 280,https://www.otomoto.pl/oferta/ford-transit-ford-transit-9-os-ID6Dvs5p.html#7727354d7a,2008 ,253 851 km,2 198 cm3,Diesel,11 070,PLN,Elbląg,(Warmińsko-mazurskie)
Kia Sportage 2.0,https://www.otomoto.pl/oferta/kia-sportage-2-0-cvvt-163km-kamera-automat-skory-w-100-bezwypadkowy-ID6DplJl.html#7727354d7a,2013 ,169 000 km,1 998 cm3,Benzyna,49 900,PLN,Gdynia,(Pomorskie)
Renault Megane II,https://www.otomoto.pl/oferta/renault-megane-rs-faktura-vat-23-2-0t-225km-swietny-stan-ID6Dvs7j.html#7727354d7a,2004 ,244 409 km,1 998 cm3,Benzyna,24 700,PLN,Łady,(Mazowieckie)
Toyota Avensis 1.8,https://www.otomoto.pl/oferta/toyota-avensis-toyota-avensis-1-8-klimatronic-srebrny-bezwypadkow-srewis-ID6Du8T6.html#7727354d7a,2003 ,190 000 km,1 794 cm3,Benzyna,10 300,PLN,Gdańsk,(Pomorskie)
Jeep Wrangler,https://www.otomoto.pl/oferta/jeep-wrangler-benzyna-3-6-manual-sahara-skora-4x4-5-drzwi-ID6Ds5QB.html#7727354d7a,2012 ,142 000 km,3 605 cm3,Benzyna,79 999,PLN,Juszczyn,(Małopolskie)
Ford Kuga 2.0,https://www.otomoto.pl/oferta/ford-kuga-ford-kuga-kupiony-w-polsce-w-rodzinie-od-nowosci-ID6DwLUV.html#7727354d7a,2008 ,250 000 km,1 997 cm3,Diesel,30 000,PLN,Stary Sącz,(Małopolskie)
Volkswagen Passat 2.0,https://www.otomoto.pl/oferta/volkswagen-passat-highline-2-0-tdi-190-km-dsg-4motion-plichta-gdansk-ID6Dj1ed.html#7727354d7a,2019 ,24 700 km,1 968 cm3,Diesel,133 900,PLN,Gdańsk,(Pomorskie)
Audi Q5 40,https://www.otomoto.pl/oferta/audi-q5-pakiet-asystentow-led-virtual-s-line-kamera-alcantara-ID6DkwBw.html#7727354d7a,2020 ,1 km,1 968 cm3,Diesel,210 100,PLN,Gdańsk,(Pomorskie)
Volkswagen ID.3 1ST,https://www.otomoto.pl/oferta/volkswagen-id-3-nowy-id-3-1st-plus-204-km-ID6Dd8Rx.html#7727354d7a,2020 ,5 km,,Elektryczny,194 390,PLN,Łódź,(Łódzkie)
Peugeot 3008 1.6,https://www.otomoto.pl/oferta/peugeot-3008-peugeot-3008-premium-exclusive-automat-ID6DwLOa.html#7727354d7a,2010 ,134 000 km,1 560 cm3,Diesel,29 500,PLN,Przeźmierowo,(Wielkopolskie)
Opel Astra 1.4,https://www.otomoto.pl/oferta/opel-astra-piekna-zadbana-lift-xenon-innovation-140-ps-zobacz-ID6DvrUk.html#7727354d7a,2012 ,137 000 km,1 364 cm3,Benzyna,34 999,PLN,Dąbrowa Górnicza,(Śląskie)
Audi A6 2.0,https://www.otomoto.pl/oferta/audi-a6-audi-a6-quattro-252-km-s-tronic-led-matrix-salon-polska-gwarancja-ID6DwLUg.html#7727354d7a,2018 ,72 000 km,1 984 cm3,Benzyna,155 000,PLN,Gajków,(Dolnośląskie)
Citroën SpaceTourer,https://www.otomoto.pl/oferta/citroen-spacetourer-citroen-spacetourer-2-0-bluehdi-150-km-business-xl-ID6Diw2q.html#7727354d7a,2020 ,5 km,1 997 cm3,Diesel,138 000,PLN,Kielce,(Świętokrzyskie)
Nissan Qashqai 1.6,https://www.otomoto.pl/oferta/nissan-qashqai-qashqai-1-6i-114-ps-lift-klimatyzacja-elektryka-serwis-alu-16-hak-ID6DtcYt.html#7727354d7a,2010 ,202 346 km,1 598 cm3,Benzyna,28 900,PLN,Stargard Szczeciński,(Zachodniopomorskie)
Audi A6 3.0,https://www.otomoto.pl/oferta/audi-a6-audi-a6-c7-avant-313km-ID6D6iiD.html#7727354d7a,2012 ,290 000 km,2 967 cm3,Diesel,79 950,PLN,Ryki,(Lubelskie)
Mitsubishi ASX,https://www.otomoto.pl/oferta/mitsubishi-asx-2-4-170km-4x4-gt-lift-ledy-kamera-skory-automat-ID6Dt5Nb.html#7727354d7a,2017 ,69 000 km,2 360 cm3,Benzyna,63 900,PLN,Gdynia,(Pomorskie)
Audi A5,https://www.otomoto.pl/oferta/audi-a5-2x-s-lineledbi-xenonskoranawigacjafaktura-vat23-ID6Dvs4Q.html#7727354d7a,2015 ,139 000 km,1 968 cm3,Diesel,75 900,PLN,Katowice,(Śląskie)
Peugeot Expert,https://www.otomoto.pl/oferta/peugeot-expert-1-6hdi-115km-1wl-salonpl-fv23-9-os-ID6Dwa9x.html#7727354d7a,2017 ,112 893 km,1 598 cm3,Diesel,69 900,PLN,Kielce,(Świętokrzyskie)
Mini Cooper S Standard,https://www.otomoto.pl/oferta/mini-cooper-s-1-6-175km-lift-skory-niski-przebieg-gwarancja-na-rok-ID6Dtgao.html#ffb556de02,2008 ,147 000 km,1 598 cm3,Benzyna,26 900,PLN,Gdynia,(Pomorskie)
Lexus RC,https://www.otomoto.pl/oferta/lexus-rc-sport-3-5-v6-4x4-stan-idealny-cena-netto95113pln-ID6Du2ea.html#ffb556de02,2016 ,67 000 km,3 456 cm3,Benzyna,95 113,PLN,Chełmek,(Małopolskie)
BMW X2 sDrive20i,https://www.otomoto.pl/oferta/bmw-x2-m-sport-2-0-192km-head-up-nawigacja-krajowa-powloka-ceramiczna-ID6DgVUV.html#ffb556de02,2018 ,18 331 km,1 998 cm3,Benzyna,139 900,PLN,Piekary Śląskie,(Śląskie)
BMW 3GT 320d,https://www.otomoto.pl/oferta/bmw-3gt-320d-xdrive-sport-line-systemy-asystujace-led-navi-fv23-ID6Dw1GB.html#ffb556de02,2018 ,25 850 km,1 995 cm3,Diesel,134 900,PLN,Łódź,(Łódzkie)
Škoda Yeti 1.2,https://www.otomoto.pl/oferta/skoda-yeti-jak-nowa-skoda-yeti-lift-105km-navi-dvd10-android-gwarancja-roczna-ID6DuCPf.html#ffb556de02,2016 ,87 750 km,1 197 cm3,Benzyna,41 999,PLN,Pabianice,(Łódzkie)
Subaru Legacy SW,https://www.otomoto.pl/oferta/subaru-legacy-sprzedam-subaru-legacy-2-0-celebration-4x4-ID6DoMy7.html#ffb556de02,2005 ,226 000 km,1 994 cm3,Benzyna+LPG,15 000,PLN,Wola Batorska,(Małopolskie)
Citroën C4 1.6,https://www.otomoto.pl/oferta/citroen-c4-1-6-salon-pl-bezwypadkowy-48-tys-km-ID6Dwqsr.html#ffb556de02,2013 ,48 000 km,1 598 cm3,Benzyna,33 900,PLN,Wrocław,(Dolnośląskie)
Opel Astra III,https://www.otomoto.pl/oferta/opel-astra-opel-astra-h-gtc-2-0t-ID6DqVIh.html#ffb556de02,2005 ,175 000 km,1 998 cm3,Benzyna,14 000,PLN,Zebrzydowa,(Dolnośląskie)
Opel Corsa 1.4,https://www.otomoto.pl/oferta/opel-corsa-krajowa-rej-2016r-1-wlasciciel-serwisowana-fv-vat-ID6Dpj4b.html#ffb556de02,2015 ,120 000 km,1 398 cm3,Benzyna,29 999,PLN,Tarnowskie Góry,(Śląskie)
Toyota Aygo 1.0,https://www.otomoto.pl/oferta/toyota-aygo-polski-salon-pierwszy-wlasciciel-kamera-cofania-fv-vat-ID6CYKV6.html#ffb556de02,2016 ,128 000 km,998 cm3,Benzyna,27 999,PLN,Tarnowskie Góry,(Śląskie)
Opel Corsa 1.4,https://www.otomoto.pl/oferta/opel-corsa-przebieg-43tys-km-polski-salon-pierwszy-wlasciciel-benzyna-1-4-90km-ID6Dp0Ay.html#ffb556de02,2015 ,43 000 km,1 398 cm3,Benzyna,34 999,PLN,Tarnowskie Góry,(Śląskie)
Hyundai ix35,https://www.otomoto.pl/oferta/hyundai-ix35-hyundai-ix35-2-0-benzyna-2010-ID6DfCkX.html#ffb556de02,2010 ,104 000 km,2 000 cm3,Benzyna,38 500,PLN,Przeworsk,(Podkarpackie)
Fiat Tipo,https://www.otomoto.pl/oferta/fiat-tipo-sw-street-1-4-95km-tylne-czujniki-parkowania-4x-elektryczne-szyby-ID6Dvs3n.html#ffb556de02,2020 ,1 km,1 368 cm3,Benzyna,56 650,PLN,Chorzów,(Śląskie)
Mercedes-Benz CLA Shooting,https://www.otomoto.pl/oferta/mercedes-benz-cla-shooting-brake-57tys-km-amg-line-webasto-panorama-zamiana-ID6DwLK6.html#ffb556de02,2016 ,57 469 km,1 595 cm3,Benzyna,76 900,PLN,Katowice,(Śląskie)
Lexus NX 300h,https://www.otomoto.pl/oferta/lexus-nx-300h-197km-comfort-bezwypadkowy-1wl-krajowy-serwis-aso-vat23-ID6DnAzr.html#ffb556de02,2017 ,35 974 km,2 494 cm3,Hybryda,134 900,PLN,Katowice,(Śląskie)
Lexus IS 200t,https://www.otomoto.pl/oferta/lexus-is-300-245ps-lift-elegance-sense-2017-1wl-krajowy-bezwypadkowy-vat23-ID6DnAXW.html#ffb556de02,2016 ,38 360 km,1 998 cm3,Benzyna,99 900,PLN,Katowice,(Śląskie)
Lexus NX 300h,https://www.otomoto.pl/oferta/lexus-nx-300h-197ps-elite-business-4x4-bezwypadkowy-1wl-krajowy-vat23-ID6DnBaq.html#ffb556de02,2017 ,72 451 km,2 494 cm3,Hybryda,116 900,PLN,Katowice,(Śląskie)
Lexus NX 300h,https://www.otomoto.pl/oferta/lexus-nx-300h-197ps-elite-navi-bezwypadkowy-1wl-krajowy-vat23-ID6DnBb5.html#ffb556de02,2017 ,59 248 km,2 494 cm3,Hybryda,114 900,PLN,Katowice,(Śląskie)
Citroën C3,https://www.otomoto.pl/oferta/citroen-c3-1-2-puretech-83km-feel-pack-czujniki-czarny-dach-przyciemniane-szyby-ID6DwLSR.html#ffb556de02,2020 ,1 km,1 199 cm3,Benzyna,62 500,PLN,Chorzów,(Śląskie)
Kia Magentis 2.0,https://www.otomoto.pl/oferta/kia-magentis-2-0d-salon-polska-ID6DnxPZ.html#ffb556de02,2010 ,239 500 km,1 991 cm3,Diesel,14 900,PLN,Grodzisk Mazowiecki,(Mazowieckie)
Honda Civic,https://www.otomoto.pl/oferta/honda-civic-1-8-ivtec-140km-climatronic-szyber-czarna-perla-ufo-ID6Dwa5a.html#ffb556de02,2007 ,182 991 km,1 800 cm3,Benzyna,19 999,PLN,Chmielnik,(Świętokrzyskie)
Seat Leon 2.0,https://www.otomoto.pl/oferta/seat-leon-fr-2-0-tdi-150km-z-niemiec-bezwypadkowy-led-bixenon-gwarancja-oplacony-ID6Du8T2.html#ffb556de02,2015 ,211 210 km,1 968 cm3,Diesel,41 990,PLN,Ocice,(Dolnośląskie)
Fiat Tipo 1.4,https://www.otomoto.pl/oferta/fiat-tipo-fiat-tipo-ii-ID6Dvs2z.html#ffb556de02,2017 ,118 000 km,1 368 cm3,Benzyna,30 900,PLN,Siedlce,(Mazowieckie)
BMW X6 xDrive40d,https://www.otomoto.pl/oferta/bmw-x6-xdrive40d-gwarancja-m-sport-head-up-asystent-kierowcy-hifi-ID6Dw1wz.html#ffb556de02,2018 ,43 000 km,2 993 cm3,Diesel,249 900,PLN,Łódź,(Łódzkie)
Opel Corsa 1.2,https://www.otomoto.pl/oferta/opel-corsa-corsa-1-2-w-bardzo-dobrej-cenie-z-caritasu-ID6Dvs32.html#ffb556de02,2010 ,146 000 km,1 229 cm3,Benzyna,8 700,PLN,Wilkanowo,(Mazowieckie)
Volkswagen Tiguan 2.0,https://www.otomoto.pl/oferta/volkswagen-tiguan-rezerwacja-do-24-12-2020-samochod-zakupiony-w-polskim-salonie-ID6DupHl.html#ffb556de02,2011 ,109 613 km,1 968 cm3,Diesel,41 900,PLN,Świebodzin,(Lubuskie)
Lexus NX,https://www.otomoto.pl/oferta/lexus-nx-300h-comfort-awd-fv23-serwis-aso-ID6Ds0R7.html#ffb556de02,2017 ,89 506 km,2 494 cm3,Hybryda,119 900,PLN,Warszawa,(Mazowieckie)
BMW X5 xDrive25d,https://www.otomoto.pl/oferta/bmw-x5-25d-m-pakiet-salon-pl-serwis-aso-kamera-360-1wl-gwarancja-2022-ID6Dwa41.html#ffb556de02,2020 ,4 000 km,1 995 cm3,Diesel,299 900,PLN,Warszawa,(Mazowieckie)
Volkswagen Touran 2.0,https://www.otomoto.pl/oferta/volkswagen-touran-okazja-touran-tdi-dsg-r-line-polski-salon-1-wlasciciel-7-os-ID6DpC0k.html#ffb556de02,2019 ,18 500 km,1 968 cm3,Diesel,114 900,PLN,Gdańsk,(Pomorskie)
Cadillac Allante,https://www.otomoto.pl/oferta/cadillac-allante-4-5-v8-zadbany-bezwypadkowy-2-wlascicieli-nadwozie-pininfarina-ID6DsooI.html#ffb556de02,1991 ,158 224 km,4 500 cm3,Benzyna,44 900,PLN,Gdańsk,(Pomorskie)
Mercedes-Benz Klasa E,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-salon-polska-gwarancja-fabryczna-faktura-vat23-ID6DkETF.html#ffb556de02,2019 ,21 800 km,1 950 cm3,Diesel,159 000,PLN,Olsztyn,(Warmińsko-mazurskie)
Maserati Ghibli,https://www.otomoto.pl/oferta/maserati-ghibli-sq4-gransport-430-km-lifting-ID6Ds2nY.html#ffb556de02,2018 ,38 000 km,2 979 cm3,Benzyna,240 000,PLN,Rakoniewice,(Wielkopolskie)
Chevrolet Cruze,https://www.otomoto.pl/oferta/chevrolet-cruze-nawigacja-chromy-parktronik-niski-przebieg-ID6Ds82Y.html#8a42323f13,2013 ,164 000 km,1 796 cm3,Benzyna,25 900,PLN,Sosnowiec,(Śląskie)
Volkswagen Polo 1.4,https://www.otomoto.pl/oferta/volkswagen-polo-ID6DbLaS.html#8a42323f13,2006 ,100 874 km,1 390 cm3,Benzyna,9 000,PLN,Zielona Góra,(Lubuskie)
Honda Civic,https://www.otomoto.pl/oferta/honda-civic-1-0-mt-vtec-turbo-126km-dynamic-salon-pl-ID6Dk8qO.html#8a42323f13,2019 ,9 900 km,988 cm3,Benzyna,79 900,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Škoda Octavia 1.6,https://www.otomoto.pl/oferta/skoda-octavia-1-6-tdi-105km-niemcy-zarejestrowany-pdc-tempomat-ID6DwLRz.html#8a42323f13,2012 ,191 123 km,1 598 cm3,Diesel,22 900,PLN,Rzeszów,(Podkarpackie)
BMW Seria 5,https://www.otomoto.pl/oferta/bmw-seria-5-manual-czarna-jasne-wnetrze-navi-xenon-ID6Dt4d0.html#8a42323f13,2008 ,190 000 km,2 000 cm3,Diesel,20 900,PLN,Bielsko-Biała,(Śląskie)
Mercedes-Benz Klasa E,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-220-d-coupe-4-matic-amg-194km-pakiet-premium-plus-ID6Dwnwk.html#8a42323f13,2020 ,1 km,1 950 cm3,Diesel,318 600,PLN,Chorzów,(Śląskie)
Volkswagen Golf,https://www.otomoto.pl/oferta/volkswagen-golf-trendline-2018r-polskisalonfakturavat23-ID6Dwa1p.html#8a42323f13,2018 ,62 826 km,999 cm3,Benzyna,46 900,PLN,Gdańsk,(Pomorskie)
Volkswagen Touareg,https://www.otomoto.pl/oferta/volkswagen-touareg-atmosphere-3-0-v6-tdi-4motion-286km-tiptronic-dach-szkl-gwarancja-ID6D61Ns.html#8a42323f13,2020 ,25 500 km,2 967 cm3,Diesel,312 900,PLN,Łódź,(Łódzkie)
Toyota Corolla,https://www.otomoto.pl/oferta/toyota-corolla-gr-sport-1-8-hybrid-122km-pakiet-dynamic-kamera-cofania-opcje-ID6Dw9ZG.html#8a42323f13,2020 ,1 km,1 798 cm3,Hybryda,109 900,PLN,Chorzów,(Śląskie)
Jeep Renegade 1.0,https://www.otomoto.pl/oferta/jeep-renegade-limited-leasing-od-100-kredyt-od-0-ID6DqH51.html#8a42323f13,2019 ,1 km,999 cm3,Benzyna,84 572,PLN,Kraków,(Małopolskie)
Jeep Compass,https://www.otomoto.pl/oferta/jeep-compass-jepp-compass-2-0-crd-uszkodzony-zamiana-na-motor-lub-auto-z-lat-prl-ID6DwWID.html#8a42323f13,2008 ,193 466 km,1 968 cm3,Diesel,7 999,PLN,Kołbiel,(Mazowieckie)
